,Date,FG Value,rating,put_call_options,stock_price_strength,stock_price_breadth,market_volatility_vix,market_volatility_vix_50,junk_bond_demand,safe_haven_demand,market_momentum_sp500,market_momentum_sp125
133,2021-04-01 02:00:00,46.400000000000006,neutral,0.6286181781754049,6.88218446634192,1382.8777416309315,17.33,22.9868,1.8518,5.343790124952571,4019.87,3711.48232
134,2021-04-05 02:00:00,54.56666666666667,neutral,0.5844049007764835,7.292017321084358,1386.0236373780974,17.91,22.9186,2.0144,7.251453988507732,4077.91,3717.31808
135,2021-04-06 02:00:00,53.5,neutral,0.5568563101603468,7.238755765685742,1397.3276825310177,18.12,22.842799999999997,1.9986999999999997,5.695468882571191,4073.94,3722.6405600000003
136,2021-04-07 02:00:00,52.53333333333333,neutral,0.544956807094331,7.093343392723556,1395.3086593727044,17.16,22.7222,1.9985000000000004,5.455863504228881,4079.95,3728.3925600000002
137,2021-04-08 02:00:00,48.099999999999994,neutral,0.5402213319954703,6.953185191078118,1389.6329640761926,16.95,22.600800000000003,1.9915999999999996,4.500038776804922,4097.17,3733.81432
138,2021-04-09 02:00:00,47.5,neutral,0.5412630036130327,6.633545226462913,1385.6642193354962,16.69,22.1904,1.9979,4.627779474037357,4128.8,3739.2700800000002
139,2021-04-12 02:00:00,43.43333333333334,fear,0.5474886518181726,6.2705558631564,1374.007923871603,16.91,21.924400000000002,1.9955,4.224903300162816,4127.99,3744.47696
140,2021-04-13 02:00:00,43.63333333333333,fear,0.5421871722291278,6.076271854614966,1358.1502422595893,16.65,21.595600000000005,1.9985000000000004,4.245851293222365,4141.59,3749.33592
141,2021-04-14 02:00:00,39.96666666666667,fear,0.5395157198357263,6.0111127573332235,1358.002983809396,16.99,21.3306,2.0113,3.515932592929042,4124.66,3754.23776
142,2021-04-15 02:00:00,47.16666666666668,neutral,0.5419412741044172,6.171738304603426,1362.2144434426411,16.57,21.1508,2.0066,4.906402359313603,4170.42,3759.69176
143,2021-04-16 02:00:00,51.300000000000004,neutral,0.5390514277788798,6.350718756254019,1382.9873020788323,16.25,21.0176,2.0122,5.690453130930608,4185.47,3765.3088
144,2021-04-19 02:00:00,45.26666666666667,neutral,0.5587220672038855,6.487045291361597,1387.783567366037,17.29,20.928,1.9965,4.77001371048086,4163.26,3770.7444
145,2021-04-20 02:00:00,42.866666666666674,fear,0.5911241899933976,6.623688992377565,1362.9443831312533,18.68,20.8842,1.9926,5.021938282608298,4134.94,3776.40856
146,2021-04-21 02:00:00,49.63333333333333,neutral,0.5988266428919952,6.930020609649847,1376.2763679239752,17.5,20.8094,2.0076,6.636679285857902,4173.42,3782.25096
147,2021-04-22 02:00:00,46.70000000000001,neutral,0.6081445311095318,7.443799343839018,1372.259809465568,18.71,20.750999999999998,2.0088,5.227946154004656,4134.98,3787.84632
148,2021-04-23 02:00:00,47.699999999999996,neutral,0.616284512782314,8.177151780286925,1398.880682397828,17.33,20.657799999999998,2.012,4.429652797811615,4180.17,3793.6597600000005
149,2021-04-26 02:00:00,50.53333333333334,neutral,0.5885906090248788,8.57327809880113,1436.9047904884592,17.64,20.5856,2.0071,4.47790993507077,4187.62,3799.4376
150,2021-04-27 02:00:00,54.800000000000004,neutral,0.5726137738515668,8.788840381078057,1469.5120091878384,17.56,20.5374,2.0048000000000004,5.01465671319979,4186.72,3805.7236
151,2021-04-28 02:00:00,52.400000000000006,neutral,0.5647591442103674,9.07399136450045,1507.0042855963195,17.28,20.453799999999998,1.9926000000000004,4.286776106082052,4183.18,3812.0636
152,2021-04-29 02:00:00,56.166666666666664,greed,0.5559279951363956,9.445697228775474,1539.9600476798137,17.61,20.375999999999998,1.9939000000000002,4.389705289727019,4211.47,3819.58712
153,2021-04-30 02:00:00,46.53333333333333,neutral,0.5742005503761003,9.540685239025315,1538.2002104468456,18.61,20.2984,1.9878,1.8640151725153973,4181.17,3826.5555999999997
154,2021-05-03 02:00:00,47.56666666666667,neutral,0.5857622473324589,9.578572848401397,1551.6353555493622,18.31,20.2236,1.8111000000000002,2.5304369717682804,4192.66,3833.9372000000003
